epoch,step,train_accuracy,train_auc,train_f1,train_loss,train_precision,val_accuracy,val_auc,val_f1,val_loss,val_precision
0,467,,,,,,0.930400013923645,0.9859800338745117,0.9284539222717285,0.15779182314872742,0.9082863926887512
0,467,0.8981704115867615,0.9672287702560425,0.8998621106147766,0.2348693311214447,0.8932342529296875,,,,,
1,935,,,,,,0.9531999826431274,0.9908210039138794,0.9508196711540222,0.12109197676181793,0.9504201412200928
1,935,0.938034176826477,0.9862293004989624,0.9386487007141113,0.15073037147521973,0.9377807378768921,,,,,
2,1403,,,,,,0.9491999745368958,0.9906061887741089,0.9473247528076172,0.1261844038963318,0.9345335364341736
2,1403,0.9469818472862244,0.9891489744186401,0.9473614692687988,0.1341235339641571,0.9484933018684387,,,,,
3,1871,,,,,,0.9372000098228455,0.9910612106323242,0.9362565875053406,0.13540931046009064,0.9050235748291016
3,1871,0.9564636945724487,0.9925309419631958,0.9568669199943542,0.1107461154460907,0.9573735594749451,,,,,
4,2339,,,,,,0.9559999704360962,0.9910455942153931,0.9541666507720947,0.12193692475557327,0.94549959897995
4,2339,0.9594017267227173,0.9939082264900208,0.9597724080085754,0.09968093037605286,0.9598994255065918,,,,,
5,2807,,,,,,0.9592000246047974,0.9935821294784546,0.9571428298950195,0.10124069452285767,0.9563392400741577
5,2807,0.9671474099159241,0.9949477910995483,0.9674818515777588,0.0901573896408081,0.966332197189331,,,,,
6,3275,,,,,,0.9567999839782715,0.992793083190918,0.9541206359863281,0.10965965688228607,0.9639484882354736
6,3275,0.9680822491645813,0.9960185885429382,0.9683443903923035,0.08053050190210342,0.9689860939979553,,,,,
7,3743,,,,,,0.9524000287055969,0.9918092489242554,0.9508467316627502,0.13108867406845093,0.9342532753944397
7,3743,0.9698183536529541,0.9961221814155579,0.9700860381126404,0.07937895506620407,0.9700860381126404,,,,,
8,4211,,,,,,0.9520000219345093,0.9920995831489563,0.9502899646759033,0.12427575141191483,0.9363265037536621
8,4211,0.9756276607513428,0.9972563982009888,0.9758133888244629,0.06666205823421478,0.9763957262039185,,,,,
9,4679,,,,,,0.9431999921798706,0.9911212921142578,0.9388984441757202,0.14915741980075836,0.9612334966659546
9,4679,0.9754941463470459,0.9973640441894531,0.9757451415061951,0.06490156054496765,0.9752939343452454,,,,,
10,5147,,,,,,0.9575999975204468,0.9937964081764221,0.9553496241569519,0.10005223006010056,0.9569620490074158
10,5147,0.9742922186851501,0.9974284768104553,0.9745050072669983,0.06464285403490067,0.9750861525535583,,,,,
11,5615,,,,,,0.9539999961853027,0.9929521679878235,0.9514972567558289,0.11359833180904388,0.9543147087097168
11,5615,0.9793002009391785,0.9979945421218872,0.9794729351997375,0.05567137897014618,0.9806417226791382,,,,,
12,6083,,,,,,0.9595999717712402,0.9932584762573242,0.9570395350456238,0.11434207856655121,0.9681583642959595
12,6083,0.9798343777656555,0.9982359409332275,0.9800158739089966,0.0528038889169693,0.9801455736160278,,,,,
13,6551,,,,,,0.9575999975204468,0.9935808181762695,0.9554621577262878,0.1076367050409317,0.9546599388122559
13,6551,0.9821047186851501,0.9983763694763184,0.9822399020195007,0.050205402076244354,0.9839352369308472,,,,,
14,7019,,,,,,0.9563999772071838,0.9926705360412598,0.9541824460029602,0.12356537580490112,0.9537814855575562
14,7019,0.9825721383094788,0.9987400770187378,0.982732355594635,0.04468194767832756,0.9829275012016296,,,,,
15,7487,,,,,,0.9603999853134155,0.9946904182434082,0.9582454562187195,0.10287200659513474,0.961082935333252
15,7487,0.9851095080375671,0.9988592863082886,0.9852386116981506,0.04187260568141937,0.9855648279190063,,,,,
16,7955,,,,,,0.967199981212616,0.9948735237121582,0.9654591679573059,0.09748869389295578,0.9670885801315308
16,7955,0.9852430820465088,0.9987011551856995,0.9853787422180176,0.043784987181425095,0.9855743646621704,,,,,
17,8423,,,,,,0.9584000110626221,0.9947943687438965,0.9572368264198303,0.12435657531023026,0.936444103717804
17,8423,0.9878472089767456,0.9992088079452515,0.9879693388938904,0.034770991653203964,0.9875776171684265,,,,,
18,8891,,,,,,0.9631999731063843,0.9946612119674683,0.9615706205368042,0.1066487729549408,0.9551867246627808
18,8891,0.986511766910553,0.9992482662200928,0.986640214920044,0.03396189585328102,0.9862488508224487,,,,,
19,9359,,,,,,0.9611999988555908,0.9947042465209961,0.95877605676651,0.11000264436006546,0.969072163105011
19,9359,0.9873130321502686,0.9992318153381348,0.9874172210693359,0.03414721414446831,0.9880715608596802,,,,,
20,9827,,,,,,0.9639999866485596,0.9946737289428711,0.9621848464012146,0.101927250623703,0.961376965045929
20,9827,0.9878472089767456,0.9993293881416321,0.9879661202430725,0.03230399265885353,0.9875743389129639,,,,,
21,10295,,,,,,0.9639999866485596,0.9944109916687012,0.961799681186676,0.10753465443849564,0.9708654880523682
21,10295,0.9897836446762085,0.9994620680809021,0.9898748993873596,0.028473688289523125,0.9898093938827515,,,,,
22,10763,,,,,,0.9679999947547913,0.9950140118598938,0.9663016200065613,0.10074574500322342,0.9679324626922607
22,10763,0.9893830418586731,0.9993635416030884,0.9894806742668152,0.030689872801303864,0.9899390935897827,,,,,
23,11231,,,,,,0.9664000272750854,0.9952719211578369,0.9649415612220764,0.10527898371219635,0.9577465057373047
23,11231,0.9897836446762085,0.9995789527893066,0.9898695349693298,0.02512594871222973,0.9904597997665405,,,,,
24,11699,,,,,,0.9643999934196472,0.9951949715614319,0.962557852268219,0.10285650938749313,0.9629629850387573
24,11699,0.9928552508354187,0.9996665120124817,0.9929227828979492,0.021231485530734062,0.9925945401191711,,,,,
25,12167,,,,,,0.9667999744415283,0.9944607019424438,0.9649936556816101,0.12329871952533722,0.9678511023521423
25,12167,0.9915197491645813,0.99965500831604,0.9915843605995178,0.022719204425811768,0.9929661750793457,,,,,
26,12635,,,,,,0.9688000082969666,0.9956086874008179,0.9667235612869263,0.11423451453447342,0.9809523820877075
26,12635,0.9931890964508057,0.9997664093971252,0.9932503700256348,0.018461689352989197,0.9932503700256348,,,,,
